RowKey,PartitionKey,BookedToISV,BookedToISV@type,BookingCode,BookingCode@type,Duration,Duration@type,EndDateTime,EndDateTime@type,PBE,PBE@type,StartDateTime,StartDateTime@type,TechnicalEvangelist,TechnicalEvangelist@type
A11,2017-04,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-03T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-04-03T16:00:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A12,2017-04,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-26T10:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-26T09:30:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A13,2017-05,None,Edm.String,None,Edm.String,360,Edm.Int32,2017-05-30T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-30T10:30:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A14,2017-04,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-26T13:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-26T12:30:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A15,2017-04,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-28T13:30:00.000Z,Edm.DateTime,None,Edm.String,2017-04-28T13:00:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A16,2017-04,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-28T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-04-28T16:00:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A17,2017-04,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-19T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-04-19T16:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A18,2017-04,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-12T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-12T16:30:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A19,2017-04,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-12T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-04-12T16:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A20,2017-04,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-12T10:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-12T09:30:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A21,2017-04,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-05T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-04-05T16:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A22,2017-05,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-31T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-31T16:30:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A23,2017-05,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-31T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-31T16:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A24,2017-05,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-31T10:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-31T09:30:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A25,2017-05,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-03T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-03T16:30:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A26,2017-06,None,Edm.String,None,Edm.String,360,Edm.Int32,2017-06-29T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-06-29T10:30:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A27,2017-05,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-03T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-03T16:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A28,2017-05,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-03T10:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-03T09:30:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A29,2017-05,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-05T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-05T16:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A30,2017-05,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-05T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-05T16:30:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A31,2017-06,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-26T10:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-26T09:30:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A32,2017-06,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-12T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-12T16:30:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A33,2017-06,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-12T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-06-12T16:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A34,2017-06,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-26T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-06-26T16:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A35,62017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-26T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-26T16:30:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A36,52017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-12T10:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-12T09:30:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A37,52017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-12T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-12T16:00:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A38,52017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-15T10:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-15T09:30:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A39,52017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-15T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-15T16:00:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A40,42017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-21T10:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-21T09:30:00.000Z,Edm.DateTime,dgrswood@Microsoft.com,Edm.String
A41,42017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-21T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-21T16:30:00.000Z,Edm.DateTime,dgrswood@Microsoft.com,Edm.String
A42,42017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-21T14:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-21T13:30:00.000Z,Edm.DateTime,dgrswood@Microsoft.com,Edm.String
A43,52017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-17T10:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-17T09:30:00.000Z,Edm.DateTime,dgrswood@Microsoft.com,Edm.String
A44,52017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-17T00:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-17T00:00:00.000Z,Edm.DateTime,dgrswood@Microsoft.com,Edm.String
A45,52017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-19T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-19T16:00:00.000Z,Edm.DateTime,dgrswood@Microsoft.com,Edm.String
A46,52017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-19T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-19T16:30:00.000Z,Edm.DateTime,dgrswood@Microsoft.com,Edm.String
A47,62017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-02T14:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-02T13:30:00.000Z,Edm.DateTime,dgrswood@Microsoft.com,Edm.String
A48,62017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-02T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-06-02T16:00:00.000Z,Edm.DateTime,dgrswood@Microsoft.com,Edm.String
A49,62017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-02T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-02T16:30:00.000Z,Edm.DateTime,dgrswood@Microsoft.com,Edm.String
A50,62017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-09T14:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-09T13:30:00.000Z,Edm.DateTime,dgrswood@Microsoft.com,Edm.String
A51,62017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-09T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-09T16:30:00.000Z,Edm.DateTime,dgrswood@Microsoft.com,Edm.String
A52,42017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-07T09:30:00.000Z,Edm.DateTime,None,Edm.String,2017-04-07T09:00:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A53,42017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-07T10:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-07T09:30:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A54,42017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-07T15:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-07T14:30:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A55,42017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-04-07T15:30:00.000Z,Edm.DateTime,None,Edm.String,2017-04-07T15:00:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A56,42017,None,Edm.String,None,Edm.String,360,Edm.Int32,2017-04-11T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-11T11:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A57,52017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-17T15:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-17T14:30:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A58,52017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-17T15:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-17T15:00:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A59,52017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-19T11:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-19T10:30:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A60,52017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-19T11:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-19T11:00:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A61,52017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-26T11:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-26T10:30:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A62,52017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-26T11:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-26T11:00:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A63,52017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-26T15:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-26T14:30:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A64,52017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-05-26T15:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-26T15:00:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A65,62017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-07T11:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-07T10:30:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A66,62017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-07T11:30:00.000Z,Edm.DateTime,None,Edm.String,2017-06-07T11:00:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A67,62017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-07T15:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-07T14:30:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A68,62017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-07T15:30:00.000Z,Edm.DateTime,None,Edm.String,2017-06-07T15:00:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A69,62017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-14T15:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-14T14:30:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A70,62017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-14T15:30:00.000Z,Edm.DateTime,None,Edm.String,2017-06-14T15:00:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A71,62017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-21T11:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-21T10:30:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A72,62017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-21T11:30:00.000Z,Edm.DateTime,None,Edm.String,2017-06-21T11:00:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A73,52017,None,Edm.String,None,Edm.String,360,Edm.Int32,2017-05-04T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-04T11:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A74,62017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-21T15:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-21T14:30:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A75,62017,None,Edm.String,None,Edm.String,30,Edm.Int32,2017-06-21T15:30:00.000Z,Edm.DateTime,None,Edm.String,2017-06-21T15:00:00.000Z,Edm.DateTime,ani@Microsoft.com,Edm.String
A76,52017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-05-08T10:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-08T09:30:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A77,52017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-05-08T11:45:00.000Z,Edm.DateTime,None,Edm.String,2017-05-08T10:45:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A78,52017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-05-08T14:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-08T13:00:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A79,52017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-05-08T15:15:00.000Z,Edm.DateTime,None,Edm.String,2017-05-08T14:15:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A80,52017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-05-08T13:45:00.000Z,Edm.DateTime,None,Edm.String,2017-05-08T12:45:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A81,52017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-05-08T15:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-08T14:00:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A82,52017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-05-22T11:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-22T10:00:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A83,52017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-05-22T12:15:00.000Z,Edm.DateTime,None,Edm.String,2017-05-22T11:15:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A84,52017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-05-22T14:15:00.000Z,Edm.DateTime,None,Edm.String,2017-05-22T13:15:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A85,52017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-05-22T15:45:00.000Z,Edm.DateTime,None,Edm.String,2017-05-22T14:45:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A86,62017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-06-05T10:30:00.000Z,Edm.DateTime,None,Edm.String,2017-06-05T09:30:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A87,62017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-06-05T12:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-05T11:00:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A88,62017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-06-05T14:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-05T13:00:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A89,62017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-06-05T15:30:00.000Z,Edm.DateTime,None,Edm.String,2017-06-05T14:30:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A90,62017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-06-05T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-05T16:00:00.000Z,Edm.DateTime,dgrswood@Microsoft.com,Edm.String
A91,62017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-06-19T11:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-19T10:00:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A92,62017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-06-19T12:15:00.000Z,Edm.DateTime,None,Edm.String,2017-06-19T11:15:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A93,62017,None,Edm.String,None,Edm.String,360,Edm.Int32,2017-06-06T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-06T11:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A94,62017,None,Edm.String,None,Edm.String,360,Edm.Int32,2017-06-08T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-06-08T11:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A95,62017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-06-19T14:15:00.000Z,Edm.DateTime,None,Edm.String,2017-06-19T13:15:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A96,62017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-06-19T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-06-19T15:30:00.000Z,Edm.DateTime,wie@Microsoft.com,Edm.String
A97,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-05T11:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-05T10:00:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A98,42017,None,Edm.String,None,Edm.String,360,Edm.Int32,2017-04-18T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-18T11:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A99,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-05T12:30:00.000Z,Edm.DateTime,None,Edm.String,2017-04-05T11:30:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A100,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-03T14:30:00.000Z,Edm.DateTime,None,Edm.String,2017-04-03T13:30:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A101,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-03T16:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-03T15:00:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A102,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-26T11:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-26T10:00:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A103,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-26T12:30:00.000Z,Edm.DateTime,None,Edm.String,2017-04-26T11:30:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A104,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-28T14:30:00.000Z,Edm.DateTime,None,Edm.String,2017-04-28T13:30:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A105,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-28T16:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-28T15:00:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A106,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-05T14:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-05T13:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A107,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-05T15:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-05T14:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A108,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-19T16:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-19T15:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A109,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-19T15:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-19T14:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A110,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-12T16:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-12T15:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A111,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-12T15:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-12T14:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A112,52017,None,Edm.String,None,Edm.String,180,Edm.Int32,2017-05-23T12:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-23T09:30:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A113,52017,None,Edm.String,None,Edm.String,180,Edm.Int32,2017-05-23T16:30:00.000Z,Edm.DateTime,None,Edm.String,2017-05-23T13:30:00.000Z,Edm.DateTime,mor@@Microsoft.com,Edm.String
A114,42017,None,Edm.String,None,Edm.String,180,Edm.Int32,2017-04-06T12:30:00.000Z,Edm.DateTime,None,Edm.String,2017-04-06T09:30:00.000Z,Edm.DateTime,dgrswood@Microsoft.com,Edm.String
A115,42017,None,Edm.String,None,Edm.String,180,Edm.Int32,2017-04-06T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-06T14:00:00.000Z,Edm.DateTime,dgrswood@Microsoft.com,Edm.String
A116,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-12T13:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-12T12:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A117,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-12T12:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-12T11:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A118,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-12T11:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-12T10:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A119,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-05T16:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-05T15:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A120,42017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-04-19T14:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-19T13:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A121,52017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-05-05T15:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-05T14:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A122,52017,None,Edm.String,None,Edm.String,60,Edm.Int32,2017-05-31T16:00:00.000Z,Edm.DateTime,None,Edm.String,2017-05-31T15:00:00.000Z,Edm.DateTime,bfa@Microsoft.com,Edm.String
A123,42017,None,Edm.String,None,Edm.String,180,Edm.Int32,2017-04-25T12:30:00.000Z,Edm.DateTime,None,Edm.String,2017-04-25T09:30:00.000Z,Edm.DateTime,dgrswood@Microsoft.com,Edm.String
A124,42017,None,Edm.String,None,Edm.String,180,Edm.Int32,2017-04-25T17:00:00.000Z,Edm.DateTime,None,Edm.String,2017-04-25T14:00:00.000Z,Edm.DateTime,dgrswood@Microsoft.com,Edm.String
